holeid,x,y,z,MD,TVD,GM
Unkown-2,691636.55,5072723.06,135.98,0.0,0.0,
Unkown-2,691636.55,5072723.06,130.98,5.0,5.0,Lonja
Unkown-2,691636.55,5072723.06,125.98,10.0,10.0,Lonja
Unkown-2,691636.55,5072723.06,120.98,15.0,15.0,Lonja
Unkown-2,691636.55,5072723.06,115.98,20.0,20.0,Lonja
Unkown-2,691636.55,5072723.06,110.98,25.0,25.0,Lonja
Unkown-2,691636.55,5072723.06,105.98,30.0,30.0,Lonja
Unkown-2,691636.55,5072723.06,100.98,35.0,35.0,Lonja
Unkown-2,691636.55,5072723.06,95.98,40.0,40.0,Lonja
Unkown-2,691636.55,5072723.06,90.98,45.0,45.0,Lonja
Unkown-2,691636.55,5072723.06,85.98,50.0,50.0,Lonja
Unkown-2,691636.55,5072723.06,80.98,55.0,55.0,Lonja
Unkown-2,691636.55,5072723.06,75.98,60.0,60.0,Lonja
Unkown-2,691636.55,5072723.06,70.98,65.0,65.0,Lonja
Unkown-2,691636.55,5072723.06,65.98,70.0,70.0,Lonja
Unkown-2,691636.55,5072723.06,60.98,75.0,75.0,Lonja
Unkown-2,691636.55,5072723.06,55.98,80.0,80.0,Lonja
Unkown-2,691636.55,5072723.06,50.98,85.0,85.0,Lonja
Unkown-2,691636.55,5072723.06,45.98,90.0,90.0,Lonja
Unkown-2,691636.55,5072723.06,40.98,95.0,95.0,Lonja
Unkown-2,691636.55,5072723.06,35.98,100.0,100.0,Lonja
Unkown-2,691636.55,5072723.06,30.98,105.0,105.0,Lonja
Unkown-2,691636.55,5072723.06,25.98,110.0,110.0,Lonja
Unkown-2,691636.55,5072723.06,20.98,115.0,115.0,Lonja
Unkown-2,691636.55,5072723.06,15.98,120.0,120.0,Lonja
Unkown-2,691636.55,5072723.06,10.98,125.0,125.0,Lonja
Unkown-2,691636.55,5072723.06,5.98,130.0,130.0,Lonja
Unkown-2,691636.55,5072723.06,0.98,135.0,135.0,Lonja
Unkown-2,691636.55,5072723.06,-4.02,140.0,140.0,Lonja
Unkown-2,691636.55,5072723.06,-9.02,145.0,145.0,Lonja
Unkown-2,691636.55,5072723.06,-14.02,150.0,150.0,Lonja
Unkown-2,691636.55,5072723.06,-19.02,155.0,155.0,Lonja
Unkown-2,691636.55,5072723.06,-24.02,160.0,160.0,Lonja
Unkown-2,691636.55,5072723.06,-29.02,165.0,165.0,Lonja
Unkown-2,691636.55,5072723.06,-34.02,170.0,170.0,Bilogora
Unkown-2,691636.55,5072723.06,-39.02,175.0,175.0,Bilogora
Unkown-2,691636.55,5072723.06,-44.02,180.0,180.0,Bilogora
Unkown-2,691636.55,5072723.06,-49.02,185.0,185.0,Bilogora
Unkown-2,691636.55,5072723.06,-54.02,190.0,190.0,Bilogora
Unkown-2,691636.55,5072723.06,-59.02,195.0,195.0,Bilogora
Unkown-2,691636.55,5072723.06,-64.02,200.0,200.0,Bilogora
Unkown-2,691636.55,5072723.06,-69.02,205.0,205.0,Bilogora
Unkown-2,691636.55,5072723.06,-74.02,210.0,210.0,Bilogora
Unkown-2,691636.55,5072723.06,-79.02,215.0,215.0,Bilogora
