holeid,Depth,POR
Unknown-2,0,20.106781617124927
Unknown-2,1,22.95497161925124
Unknown-2,2,22.923326942043825
Unknown-2,3,22.891811609908757
Unknown-2,4,22.861528200437725
Unknown-2,5,22.83203060001253
Unknown-2,6,22.80255037748514
Unknown-2,7,22.77307015495775
Unknown-2,8,22.74358993243036
Unknown-2,9,22.71410970990298
Unknown-2,10,22.6846294873756
Unknown-2,11,22.655149264848205
Unknown-2,12,22.625669042320823
Unknown-2,13,22.59618881979343
Unknown-2,14,22.56670859726605
Unknown-2,15,22.537228374738664
Unknown-2,16,22.507748152211274
Unknown-2,17,22.47826792968389
Unknown-2,18,22.448787707156505
Unknown-2,19,22.41930748462912
Unknown-2,20,22.389827262101736
Unknown-2,21,22.360347039574346
Unknown-2,22,22.330866817046957
Unknown-2,23,22.301386594519574
Unknown-2,24,22.271906371992188
Unknown-2,25,22.242426149464798
Unknown-2,26,22.21294592693742
Unknown-2,27,22.183465704410025
Unknown-2,28,22.153985481882643
Unknown-2,29,22.124505259355256
Unknown-2,30,22.095025036827874
Unknown-2,31,22.065544814300488
Unknown-2,32,22.036064591773094
Unknown-2,33,22.006584369245715
Unknown-2,34,21.97710414671833
Unknown-2,35,21.947623924190935
Unknown-2,36,21.918143701663556
Unknown-2,37,21.888663479136163
Unknown-2,38,21.85918325660878
Unknown-2,39,21.829703034081398
Unknown-2,40,21.800222811554008
Unknown-2,41,21.770742589026618
Unknown-2,42,21.741262366499235
Unknown-2,43,21.71178214397185
Unknown-2,44,21.682301921444463
Unknown-2,45,21.652821698917077
Unknown-2,46,21.62334147638969
Unknown-2,47,21.5938612538623
Unknown-2,48,21.56438103133492
Unknown-2,49,21.53490080880753
Unknown-2,50,21.50542058628014
Unknown-2,51,21.475940363752756
Unknown-2,52,21.44646014122537
Unknown-2,53,21.416979918697983
Unknown-2,54,21.387499696170597
Unknown-2,55,21.358019473643214
Unknown-2,56,21.328539251115824
Unknown-2,57,21.29905902858844
Unknown-2,58,21.269578806061052
Unknown-2,59,21.24009858353367
Unknown-2,60,21.21061836100628
Unknown-2,61,21.181138138478893
Unknown-2,62,21.15165791595151
Unknown-2,63,21.122177693424124
Unknown-2,64,21.092697470896734
Unknown-2,65,21.063217248369345
Unknown-2,66,21.033737025841962
Unknown-2,67,21.004256803314576
Unknown-2,68,20.974776580787193
Unknown-2,69,20.945296358259807
Unknown-2,70,20.91581613573242
Unknown-2,71,20.886112213131177
Unknown-2,72,20.856116666678243
Unknown-2,73,20.826121120225316
Unknown-2,74,20.79612557377239
Unknown-2,75,36.013523713287874
Unknown-2,76,35.77025056849199
Unknown-2,77,35.5269774236961
Unknown-2,78,35.283704278900196
Unknown-2,79,35.040431134104324
Unknown-2,80,34.79715798930844
Unknown-2,81,34.55388484451254
Unknown-2,82,34.31061169971665
Unknown-2,83,34.067338554920774
Unknown-2,84,33.82406541012487
Unknown-2,85,33.58079226532899
Unknown-2,86,33.3375191205331
Unknown-2,87,33.0942459757372
Unknown-2,88,32.850972830941316
Unknown-2,89,32.60769968614544
Unknown-2,90,32.36442654134953
Unknown-2,91,32.12115339655365
Unknown-2,92,31.877880251757766
Unknown-2,93,31.634607106961873
Unknown-2,94,31.391333962165984
Unknown-2,95,31.14806081737009
Unknown-2,96,30.904787672574198
Unknown-2,97,30.661514527778316
Unknown-2,98,30.418241382982416
Unknown-2,99,30.17496823818653
Unknown-2,100,29.931695093390644
Unknown-2,101,29.688421948594748
Unknown-2,102,29.44514880379887
Unknown-2,103,29.20187565900298
Unknown-2,104,28.958602514207083
Unknown-2,105,28.7153293694112
Unknown-2,106,28.47205622461531
Unknown-2,107,28.22878307981942
Unknown-2,108,27.985509935023533
Unknown-2,109,27.74223679022765
Unknown-2,110,27.49896364543175
Unknown-2,111,27.255690500635865
Unknown-2,112,27.012417355839975
Unknown-2,113,26.769144211044086
Unknown-2,114,26.5258710662482
Unknown-2,115,26.2825979214523
Unknown-2,116,26.039324776656414
Unknown-2,117,25.79605163186053
Unknown-2,118,25.552778487064632
Unknown-2,119,25.309505342268746
Unknown-2,120,25.06623219747286
Unknown-2,121,24.822959052676964
Unknown-2,122,24.579685907881082
Unknown-2,123,24.3364127630852
Unknown-2,124,24.093139618289296
Unknown-2,125,23.849866473493417
Unknown-2,126,23.606593328697524
Unknown-2,127,23.363320183901635
Unknown-2,128,23.12004703910575
Unknown-2,129,22.876773894309864
Unknown-2,130,22.633500749513967
Unknown-2,131,22.39022760471809
Unknown-2,132,22.14695445992219
Unknown-2,133,21.9036813151263
Unknown-2,134,21.660408170330413
Unknown-2,135,21.41713502553452
Unknown-2,136,21.173861880738627
Unknown-2,137,20.930588735942745
Unknown-2,138,20.68731559114685
Unknown-2,139,20.444042446350963
Unknown-2,140,20.200769301555077
Unknown-2,141,19.95749615675919
Unknown-2,142,19.7142230119633
Unknown-2,143,19.47094986716741
Unknown-2,144,19.227676722371516
Unknown-2,145,18.984403577575627
Unknown-2,146,18.74113043277974
Unknown-2,147,18.497857287983848
Unknown-2,148,18.25458414318797
Unknown-2,149,18.011310998392073
Unknown-2,150,17.76803785359618
Unknown-2,151,17.52476470880029
Unknown-2,152,17.287097418912968
Unknown-2,153,17.061595757292444
Unknown-2,154,16.83687552833256
Unknown-2,155,16.622731066673133
Unknown-2,156,16.423320809940662
Unknown-2,157,16.318925873332848
Unknown-2,158,16.29463297560506
Unknown-2,159,16.270340077877275
Unknown-2,160,16.246047180149485
Unknown-2,161,16.221754282421703
Unknown-2,162,16.197461384693916
Unknown-2,163,16.173168486966123
Unknown-2,164,16.148875589238337
Unknown-2,165,16.12458269151055
Unknown-2,166,16.10028979378276
Unknown-2,167,16.075996896054978
Unknown-2,168,16.05170399832719
Unknown-2,169,16.0274111005994
Unknown-2,170,16.00311820287162
Unknown-2,171,15.978825305143832
Unknown-2,172,15.954532407416043
Unknown-2,173,15.930239509688256
Unknown-2,174,15.90594661196047
Unknown-2,175,15.881653714232684
Unknown-2,176,15.857360816504897
Unknown-2,177,15.833067918777111
Unknown-2,178,15.808775021049325
Unknown-2,179,15.784482123321535
Unknown-2,180,15.760189225593749
Unknown-2,181,15.735896327865966
Unknown-2,182,15.711603430138176
Unknown-2,183,15.687310532410386
Unknown-2,184,15.663017634682603
Unknown-2,185,15.638724736954812
Unknown-2,186,15.614431839227027
Unknown-2,187,15.59013894149924
Unknown-2,188,15.565846043771456
Unknown-2,189,15.541553146043668
Unknown-2,190,15.51726024831588
Unknown-2,191,15.492967350588092
Unknown-2,192,15.468674452860308
Unknown-2,193,15.444381555132516
Unknown-2,194,15.420088657404731
Unknown-2,195,15.395795759676947
Unknown-2,196,15.37150286194916
Unknown-2,197,15.347209964221374
Unknown-2,198,15.32291706649358
Unknown-2,199,15.298624168765798
Unknown-2,200,15.274331271038012
Unknown-2,201,15.250038373310224
Unknown-2,202,15.225745475582437
Unknown-2,203,15.20145257785465
Unknown-2,204,15.177159680126861
Unknown-2,205,15.152866782399075
Unknown-2,206,15.128573884671288
Unknown-2,207,15.1042809869435
Unknown-2,208,15.079988089215714
Unknown-2,209,15.055695191487928
Unknown-2,210,15.03140229376014
Unknown-2,211,15.007109396032355
Unknown-2,212,14.982816498304567
Unknown-2,213,14.958523600576779
Unknown-2,214,14.934230702848994
Unknown-2,215,14.909937805121206
Unknown-2,216,14.88564490739342
Unknown-2,217,14.861352009665632
Unknown-2,218,14.837059111937846
Unknown-2,219,14.812766214210061
Unknown-2,220,14.788473316482273
Unknown-2,221,14.764180418754485
Unknown-2,222,14.739887521026695
Unknown-2,223,14.715594623298912
Unknown-2,224,14.691301725571124
Unknown-2,225,14.66700882784334
Unknown-2,226,14.64271593011555
Unknown-2,227,14.618423032387765
Unknown-2,228,14.594130134659977
Unknown-2,229,14.569837236932187
Unknown-2,230,14.545544339204405
Unknown-2,231,14.521251441476618
Unknown-2,232,14.49695854374883
Unknown-2,233,14.472665646021042
Unknown-2,234,14.448372748293254
Unknown-2,235,14.424079850565466
Unknown-2,236,14.399786952837685
Unknown-2,237,14.375494055109895
Unknown-2,238,14.351201157382105
Unknown-2,239,14.32690825965432
Unknown-2,240,14.302615361926534
Unknown-2,241,14.278322464198746
Unknown-2,242,14.254029566470958
Unknown-2,243,14.229736668743172
Unknown-2,244,14.205443771015387
Unknown-2,245,14.181150873287596
Unknown-2,246,14.156857975559815
Unknown-2,247,14.132565077832025
Unknown-2,248,14.108272180104239
Unknown-2,249,14.08397928237645
Unknown-2,250,14.059686384648662
Unknown-2,251,14.035393486920878
Unknown-2,252,14.011100589193092
Unknown-2,253,13.986807691465305
Unknown-2,254,13.962514793737517
Unknown-2,255,13.938221896009729
Unknown-2,256,13.913928998281946
Unknown-2,257,13.889636100554156
Unknown-2,258,13.86534320282637
Unknown-2,259,13.84105030509858
Unknown-2,260,13.816757407370792
Unknown-2,261,13.792464509643006
Unknown-2,262,13.767814082105348
Unknown-2,263,13.742783731886698
Unknown-2,264,13.717753381668057
Unknown-2,265,13.69272303144941
Unknown-2,266,13.667692681230765
Unknown-2,267,13.642662331012119
Unknown-2,268,13.617631980793474
Unknown-2,269,13.59260163057483
Unknown-2,270,13.567571280356185
Unknown-2,271,13.542540930137541
Unknown-2,272,13.517510579918891
Unknown-2,273,13.492480229700247
Unknown-2,274,13.467449879481602
Unknown-2,275,13.442419529262954
Unknown-2,276,13.417389179044312
Unknown-2,277,13.392358828825664
Unknown-2,278,13.36732847860702
Unknown-2,279,13.342298128388373
Unknown-2,280,13.31726777816973
Unknown-2,281,13.29223742795108
Unknown-2,282,13.267207077732436
Unknown-2,283,13.242176727513792
Unknown-2,284,13.217146377295148
Unknown-2,285,13.192116027076503
Unknown-2,286,13.167085676857853
Unknown-2,287,13.142055326639209
Unknown-2,288,13.117024976420565
Unknown-2,289,13.091994626201917
Unknown-2,290,13.066964275983276
Unknown-2,291,13.04193392576463
Unknown-2,292,13.016903575545983
Unknown-2,293,12.991873225327337
Unknown-2,294,12.966842875108693
Unknown-2,295,12.94181252489005
Unknown-2,296,12.916782174671402
Unknown-2,297,12.891751824452756
Unknown-2,298,12.866721474234113
Unknown-2,299,12.841691124015465
Unknown-2,300,12.816660773796817
Unknown-2,301,12.791630423578175
Unknown-2,302,12.766600073359529
Unknown-2,303,12.74119098542684
Unknown-2,304,12.714472818421118
Unknown-2,305,12.687754651415391
Unknown-2,306,12.661036484409667
Unknown-2,307,12.634318317403947
Unknown-2,308,12.60760015039822
Unknown-2,309,12.580881983392498
Unknown-2,310,12.554163816386776
Unknown-2,311,12.527445649381052
Unknown-2,312,12.500727482375325
Unknown-2,313,12.474009315369607
Unknown-2,314,12.447291148363881
Unknown-2,315,12.420572981358156
Unknown-2,316,12.393854814352435
Unknown-2,317,12.367136647346712
Unknown-2,318,12.340418480340986
Unknown-2,319,12.313700313335262
Unknown-2,320,12.28698214632954
Unknown-2,321,12.260263979323815
Unknown-2,322,12.233545812318093
Unknown-2,323,12.20682764531237
Unknown-2,324,12.180109478306644
Unknown-2,325,12.153391311300918
Unknown-2,326,12.126673144295196
Unknown-2,327,12.099954977289476
Unknown-2,328,12.073236810283749
Unknown-2,329,12.046518643278029
Unknown-2,330,12.019800476272305
Unknown-2,331,11.993082309266581
Unknown-2,332,11.966364142260856
Unknown-2,333,11.939645975255134
Unknown-2,334,11.912927808249409
Unknown-2,335,11.886209641243683
Unknown-2,336,11.859491474237963
Unknown-2,337,11.83277330723224
Unknown-2,338,11.806055140226512
Unknown-2,339,11.779336973220794
Unknown-2,340,11.75261880621507
Unknown-2,341,11.725900639209346
Unknown-2,342,11.699182472203622
Unknown-2,343,11.672464305197897
Unknown-2,344,11.645746138192173
Unknown-2,345,11.619027971186451
Unknown-2,346,11.592309804180728
Unknown-2,347,11.565591637175002
Unknown-2,348,11.538873470169277
Unknown-2,349,11.512155303163558
Unknown-2,350,11.485437136157834
Unknown-2,351,11.458718969152109
Unknown-2,352,11.432000802146385
Unknown-2,353,11.40528263514066
Unknown-2,354,11.378564468134938
Unknown-2,355,11.351846301129214
Unknown-2,356,11.32512813412349
Unknown-2,357,11.298409967117768
Unknown-2,358,11.271691800112045
Unknown-2,359,11.244973633106321
Unknown-2,360,11.218255466100596
Unknown-2,361,11.191537299094875
Unknown-2,362,11.164819132089152
Unknown-2,363,11.138100965083424
Unknown-2,364,11.111382798077704
Unknown-2,365,11.08466463107198
Unknown-2,366,11.057946464066257
Unknown-2,367,11.031228297060531
Unknown-2,368,11.004510130054806
Unknown-2,369,10.977791963049086
Unknown-2,370,10.951073796043358
Unknown-2,371,10.924355629037638
Unknown-2,372,10.897637462031916
Unknown-2,373,10.870919295026193
Unknown-2,374,10.844201128020469
Unknown-2,375,10.817482961014745
Unknown-2,376,10.790764794009018
Unknown-2,377,10.764046627003298
Unknown-2,378,10.737328459997574
Unknown-2,379,10.71061029299185
Unknown-2,380,10.683892125986125
Unknown-2,381,10.657173958980403
Unknown-2,382,10.63045579197468
