holeid,Depth,PERM
Unknown-1,0,26.457720895122144
Unknown-1,1,26.37178412122111
Unknown-1,2,26.28584734732006
Unknown-1,3,26.199910573419032
Unknown-1,4,26.113973799517993
Unknown-1,5,26.032459133432997
Unknown-1,6,25.955573686167256
Unknown-1,7,54.710528240314744
Unknown-1,8,54.54797531056281
Unknown-1,9,54.38542238081086
Unknown-1,10,54.22286945105892
Unknown-1,11,54.06031652130698
Unknown-1,12,53.89776359155502
Unknown-1,13,53.73521066180309
Unknown-1,14,53.57265773205114
Unknown-1,15,53.41010480229921
Unknown-1,16,53.24755187254726
Unknown-1,17,53.08499894279533
Unknown-1,18,52.92244601304337
Unknown-1,19,52.75989308329143
Unknown-1,20,52.597340153539484
Unknown-1,21,52.434787223787545
Unknown-1,22,52.272234294035606
Unknown-1,23,52.10968136428366
Unknown-1,24,51.94712843453172
Unknown-1,25,51.784575504779774
Unknown-1,26,51.62202257502783
Unknown-1,27,51.459469645275895
Unknown-1,28,51.29691671552394
Unknown-1,29,51.134363785772
Unknown-1,30,50.971810856020056
Unknown-1,31,50.80925792626811
Unknown-1,32,50.64670499651617
Unknown-1,33,50.484152066764224
Unknown-1,34,50.32159913701228
Unknown-1,35,50.159046207260346
Unknown-1,36,49.9964932775084
Unknown-1,37,49.83394034775645
Unknown-1,38,49.67138741800452
Unknown-1,39,49.50883448825257
Unknown-1,40,49.34628155850063
Unknown-1,41,49.183728628748675
Unknown-1,42,49.02117569899673
Unknown-1,43,48.858622769244796
Unknown-1,44,48.69606983949285
Unknown-1,45,48.53351690974092
Unknown-1,46,48.370963979988964
Unknown-1,47,48.20841105023702
Unknown-1,48,48.045858120485086
Unknown-1,49,47.88330519073314
Unknown-1,50,47.72075226098119
Unknown-1,51,47.55819933122925
Unknown-1,52,47.39564640147731
Unknown-1,53,47.233093471725375
Unknown-1,54,47.07054054197342
Unknown-1,55,46.90798761222147
Unknown-1,56,46.745434682469536
Unknown-1,57,46.58288175271759
Unknown-1,58,46.42032882296566
Unknown-1,59,46.25777589321372
Unknown-1,60,46.09522296346176
Unknown-1,61,45.932670033709826
Unknown-1,62,45.77011710395787
Unknown-1,63,45.60756417420594
Unknown-1,64,45.44501124445399
Unknown-1,65,45.28245831470205
Unknown-1,66,45.11990538495011
Unknown-1,67,44.957352455198155
Unknown-1,68,44.79479952544622
Unknown-1,69,44.632246595694276
Unknown-1,70,44.4646956000712
Unknown-1,71,44.28028823057545
Unknown-1,72,44.08248879670124
Unknown-1,73,43.85190288761449
Unknown-1,74,43.540600035760846
Unknown-1,75,43.211965728700086
Unknown-1,76,42.88333142163929
Unknown-1,77,42.554697114578524
Unknown-1,78,42.226062807517735
Unknown-1,79,41.89742850045696
Unknown-1,80,41.56879419339617
Unknown-1,81,41.2401598863354
Unknown-1,82,40.91152557927463
Unknown-1,83,40.582891272213836
Unknown-1,84,40.25425696515307
Unknown-1,85,39.92562265809229
Unknown-1,86,39.59698835103151
Unknown-1,87,39.268354043970724
Unknown-1,88,38.93971973690996
Unknown-1,89,38.611085429849176
Unknown-1,90,38.2824511227884
Unknown-1,91,37.95381681572763
Unknown-1,92,37.62518250866684
Unknown-1,93,37.296548201606065
Unknown-1,94,36.96791389454528
Unknown-1,95,36.639279587484516
Unknown-1,96,36.31064528042372
Unknown-1,97,35.982010973362954
Unknown-1,98,35.65337666630217
Unknown-1,99,35.32474235924139
Unknown-1,100,34.99610805218063
Unknown-1,101,34.667473745119835
Unknown-1,102,34.338839438059054
Unknown-1,103,34.01020513099828
Unknown-1,104,33.678986573911345
Unknown-1,105,33.34633638382064
Unknown-1,106,33.013686193729946
Unknown-1,107,32.68103600363927
Unknown-1,108,32.34838581354856
Unknown-1,109,32.01573562345787
Unknown-1,110,31.683085433367168
Unknown-1,111,31.350435243276475
Unknown-1,112,31.017785053185772
Unknown-1,113,30.685134863095083
Unknown-1,114,30.35128233388219
Unknown-1,115,30.012898800822846
Unknown-1,116,29.674515267763525
Unknown-1,117,29.336131734704182
Unknown-1,118,28.99774820164485
Unknown-1,119,28.658510343344194
Unknown-1,120,28.318838858929357
Unknown-1,121,27.979167374514518
Unknown-1,122,27.639495890099685
Unknown-1,123,27.299824405684856
Unknown-1,124,26.960152921269998
Unknown-1,125,26.62036784044767
Unknown-1,126,26.279109775070413
Unknown-1,127,25.937851709693177
Unknown-1,128,25.596593644315913
Unknown-1,129,25.255335578938674
Unknown-1,130,24.914077513561427
Unknown-1,131,24.57281944818418
Unknown-1,132,24.23156138280693
Unknown-1,133,23.89030331742968
Unknown-1,134,23.549045252052444
Unknown-1,135,23.207787186675187
Unknown-1,136,22.866529121297937
Unknown-1,137,22.525271055920697
Unknown-1,138,22.184012990543444
Unknown-1,139,21.842754925166194
Unknown-1,140,21.501496859788944
Unknown-1,141,21.160238794411693
Unknown-1,142,20.818980729034454
Unknown-1,143,20.477722663657204
Unknown-1,144,20.136464598279957
Unknown-1,145,19.795206532902707
Unknown-1,146,19.453948467525453
Unknown-1,147,19.112690402148207
Unknown-1,148,18.77143233677096
Unknown-1,149,18.43017427139371
Unknown-1,150,18.088916206016467
Unknown-1,151,17.747658140639217
Unknown-1,152,17.406400075261967
Unknown-1,153,17.065142009884724
Unknown-1,154,16.723883944507477
Unknown-1,155,16.382625879130227
Unknown-1,156,16.041367813752977
Unknown-1,157,15.700109748375725
Unknown-1,158,15.365161985369369
Unknown-1,159,15.103681241681338
Unknown-1,160,14.886033695016827
Unknown-1,161,14.700698473918267
Unknown-1,162,14.575311152261136
Unknown-1,163,14.45841884521604
Unknown-1,164,14.355105194749184
Unknown-1,165,14.282413860268536
Unknown-1,166,14.21668646445229
Unknown-1,167,14.1599609438893
Unknown-1,168,14.109210154428636
Unknown-1,169,14.05975844522114
Unknown-1,170,14.010306736013646
Unknown-1,171,13.960855026806152
Unknown-1,172,13.911403317598657
Unknown-1,173,13.861951608391157
Unknown-1,174,13.812499899183662
Unknown-1,175,13.763048189976166
Unknown-1,176,13.71359648076867
Unknown-1,177,13.664144771561173
Unknown-1,178,13.614693062353675
Unknown-1,179,13.565241353146183
Unknown-1,180,13.515789643938682
Unknown-1,181,13.466337934731191
Unknown-1,182,13.416886225523692
Unknown-1,183,13.367434516316193
Unknown-1,184,13.3179828071087
Unknown-1,185,13.268531097901203
Unknown-1,186,13.219079388693705
Unknown-1,187,13.169627679486211
Unknown-1,188,13.12017597027871
Unknown-1,189,13.070724261071218
Unknown-1,190,13.021272551863722
Unknown-1,191,12.971893564116167
Unknown-1,192,12.923054759025066
Unknown-1,193,12.874215953933966
Unknown-1,194,12.825377148842865
Unknown-1,195,12.776538343751763
Unknown-1,196,12.727699538660662
Unknown-1,197,12.67886073356956
Unknown-1,198,12.630021928478461
Unknown-1,199,12.581183123387358
Unknown-1,200,12.532344318296257
Unknown-1,201,12.483505513205154
