holeid,x,y,z,MD,TVD,TEMP,GM
REZOVACCKE_KRCCEVINE-2,688872.79,5073318.89,214.89,0.0,0.0,42.6283797483,
REZOVACCKE_KRCCEVINE-2,688872.79,5073318.89,209.89,5.0,5.0,42.6310428261,Lonja
REZOVACCKE_KRCCEVINE-2,688872.79,5073318.89,204.89,10.0,10.0,42.6337555881,Lonja
REZOVACCKE_KRCCEVINE-2,688872.79,5073318.89,199.89,15.0,15.0,42.6365188994,Lonja
REZOVACCKE_KRCCEVINE-2,688872.79,5073318.89,194.89,20.0,20.0,42.6393336448,Lonja
REZOVACCKE_KRCCEVINE-2,688872.79,5073318.89,189.89,25.0,25.0,42.6422007286,Lonja
REZOVACCKE_KRCCEVINE-2,688872.79,5073318.89,184.89,30.0,30.0,42.6451210758,Lonja
REZOVACCKE_KRCCEVINE-2,688872.79,5073318.89,179.89,35.0,35.0,42.6480956326,Lonja
REZOVACCKE_KRCCEVINE-2,688872.79,5073318.89,174.89,40.0,40.0,42.6511253666,Lonja
REZOVACCKE_KRCCEVINE-2,688872.79,5073318.89,169.89,45.0,45.0,42.6542112679,Lonja
REZOVACCKE_KRCCEVINE-2,688872.79,5073318.89,164.89,50.0,50.0,42.6573543497,Lonja
REZOVACCKE_KRCCEVINE-2,688872.79,5073318.89,159.89,55.0,55.0,42.6605556487,Lonja
REZOVACCKE_KRCCEVINE-2,688872.79,5073318.89,154.89,60.0,60.0,42.663816226,Lonja
REZOVACCKE_KRCCEVINE-2,688872.79,5073318.89,149.89,65.0,65.0,42.6671371682,Lonja
REZOVACCKE_KRCCEVINE-2,688872.79,5073318.89,144.89,70.0,70.0,42.6705195873,Lonja
REZOVACCKE_KRCCEVINE-2,688872.79,5073318.89,139.89,75.0,75.0,42.6739646225,Lonja
REZOVACCKE_KRCCEVINE-2,688872.79,5073318.89,134.89,80.0,80.0,42.6774734404,Lonja
REZOVACCKE_KRCCEVINE-2,688872.79,5073318.89,129.89,85.0,85.0,42.6810472358,Lonja
REZOVACCKE_KRCCEVINE-2,688872.79,5073318.89,124.89,90.0,90.0,42.6846872332,Lonja
