holeid,x,y,z,MD,TVD,GM_lthology
Unknown_2,691636.55,5072723.1,135.98,0.0,0.0,
Unknown_2,691636.55,5072723.1,130.98,5.0,5.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,125.98,10.0,10.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,120.98,15.0,15.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,115.98,20.0,20.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,110.98,25.0,25.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,105.98,30.0,30.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,100.98,35.0,35.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,95.98,40.0,40.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,90.98,45.0,45.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,85.98,50.0,50.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,80.98,55.0,55.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,75.98,60.0,60.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,70.98,65.0,65.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,65.98,70.0,70.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,60.98,75.0,75.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,55.98,80.0,80.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,50.98,85.0,85.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,45.98,90.0,90.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,40.98,95.0,95.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,35.98,100.0,100.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,30.98,105.0,105.0,Argillites and Marls (Clay-rich) 1
Unknown_2,691636.55,5072723.1,25.98,110.0,110.0,Argillites and Marls (Clay-rich) 1
