holeid,x,y,z,MD,TVD,PERM,POR,GM_lthology
REZOVACCKE-2_planed,688872.79,5073318.89,214.88,0.0,0.0,36.6547335284,34.5194366167,
REZOVACCKE-2_planed,688872.79,5073318.89,209.88,5.0,5.0,36.6009747136,34.4949100931,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,204.88,10.0,10.0,36.5467087086,34.4701417113,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,199.88,15.0,15.0,36.4919317156,34.4451296103,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,194.88,20.0,20.0,36.436639938,34.4198719291,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,189.88,25.0,25.0,36.3808295813,34.3943668069,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,184.88,30.0,30.0,36.3244968538,34.3686123844,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,179.88,35.0,35.0,36.2676379683,34.3426068033,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,174.88,40.0,40.0,36.2102491429,34.3163482078,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,169.88,45.0,45.0,36.1523266021,34.2898347443,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,164.88,50.0,50.0,36.093866578,34.2630645628,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,159.88,55.0,55.0,36.0348653119,34.2360358169,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,154.88,60.0,60.0,35.975319055,34.2087466646,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,149.88,65.0,65.0,35.91522407,34.1811952692,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,144.88,70.0,70.0,35.8545766327,34.1533797994,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,139.88,75.0,75.0,35.7933730325,34.1252984304,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,134.88,80.0,80.0,35.7316095747,34.0969493444,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,129.88,85.0,85.0,35.6692825813,34.0683307313,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,124.88,90.0,90.0,35.606388393,34.0394407894,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,119.88,95.0,95.0,35.54292337,34.0102765664,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,114.88,100.0,100.0,35.4788838941,33.9808385936,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,109.88,105.0,105.0,35.41426637,33.9511239453,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,104.88,110.0,110.0,35.349067227,33.9211308612,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,99.88,115.0,115.0,35.2832829205,33.8908575931,Argillites and Marls (Clay-rich) 1
REZOVACCKE-2_planed,688872.79,5073318.89,94.88,120.0,120.0,35.2169099336,33.8603024058,Argillites and Marls (Clay-rich) 1
